"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-08-31,"85032","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",61,1195,0,0,0.0222412318220701,4916
2018-08-31,"78704","TX","Austin-Round Rock","Travis","Austin",62,1683,0.000594530321046373,0.00297973778307509,-0.0310880829015544,6374
2018-08-31,"33160","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade","Sunny Isles Beach",63,2131,-0.00280767430978007,-0.0102183000464468,-0.0256058527663466,42802
2018-08-31,"77077","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",64,1189,-0.00418760469011725,-0.018976897689769,0.0197255574614065,1217
2018-08-31,"78245","TX","San Antonio-New Braunfels","Bexar","San Antonio",65,996,0,-0.0099403578528827,-0.0568181818181818,121
2018-08-31,"21234","MD","Baltimore-Columbia-Towson","Baltimore","Parkville",66,1394,-0.000716845878136201,-0.000716845878136201,0.00504686373467916,582
2018-08-31,"23464","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",67,1234,0,0,0.0283333333333333,4987
2018-08-31,"30096","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Duluth",68,1346,0.000743494423791822,0.00148809523809524,0.0417956656346749,2981
2018-08-31,"78521","TX","Brownsville-Harlingen","Cameron","Brownsville",69,750,-0.00133155792276964,-0.0131578947368421,-0.159192825112108,1276
2018-08-31,"75243","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",70,1131,0.00354924578527063,0.0125335720680394,0.063969896519285,5472
2018-08-31,"11214","NY","New York-Newark-Jersey City","Kings","New York",71,2093,-0.00143129770992366,-0.00758653390232338,-0.0503629764065336,10700
2018-08-31,"98052","WA","Seattle-Tacoma-Bellevue","King","Redmond",72,2079,0.000962927298988926,0.00386286817962337,-0.00239923224568138,6009
2018-08-31,"94501","CA","San Francisco-Oakland-Hayward","Alameda","Alameda",73,2788,-0.000358551452133381,-0.00107488355428162,-0.0275549354726195,5333
2018-08-31,"08701","NJ","New York-Newark-Jersey City","Ocean","Lakewood",74,1443,-0.000692520775623269,0.00138792505204719,-0.000692520775623269,7689
2018-08-31,"11221","NY","New York-Newark-Jersey City","Kings","New York",75,2334,-0.00213766566908935,-0.013107822410148,-0.0554431404289761,12647
2018-08-31,"60610","IL","Chicago-Naperville-Elgin","Cook","Chicago",76,1776,-0.00280741156653565,-0.00837520938023451,-0.0578249336870027,27136
2018-08-31,"11207","NY","New York-Newark-Jersey City","Kings","New York",77,2194,0,-0.000910746812386157,-0.0108205590622182,9896
2018-08-31,"11229","NY","New York-Newark-Jersey City","Kings","New York",78,2133,-0.000936768149882904,-0.00698324022346369,-0.00513059701492537,8862
2018-08-31,"77379","TX","Houston-The Woodlands-Sugar Land","Harris","Tomball",79,1232,0,-0.00162074554294976,0.0232558139534884,647
2018-08-31,"78666","TX","Austin-Round Rock","Hays","San Marcos",80,1174,0.00256191289496157,0.0111972437553833,-0.00254885301614274,1630
2018-08-31,"10019","NY","New York-Newark-Jersey City","New York","New York",81,3660,-0.0016366612111293,-0.0118790496760259,-0.0591259640102828,19881
2018-08-31,"30024","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Suwanee",82,1495,-0.000668449197860962,-0.000668449197860962,0.0170068027210884,1529
2018-08-31,"94110","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",83,4654,-0.00661686232657417,-0.0197978096040438,-0.0135650699448919,7091
2018-08-31,"60619","IL","Chicago-Naperville-Elgin","Cook","Chicago",84,1199,0,-0.00662800331400166,-0.0196238757154538,4190
