RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,seasAdj
69727,28115,North Carolina,1353,19,16,26,27,14,19,14,11,14,15,11,15,11,16,16,12,26,11,14,17,15,9,11,11,12,14,19,15,14,12,8,8,9,15,7,5,13,7,14,12,13,13,11,9,6,15,5,3,10,25,9,15,8,22,12,32,9,20,20,12,14,16,25,23,34,24,14,20,24,11,13,19,12,19,19,32,26,15,19,21,26,19,13,17,12,19,14,27,34,36,25,20,20,23,11,23,26,28,35,41,36,41,39,34,38,40,20,24,28,37,39,39,38,41,46,36,47,25,22,20,25,23,27,43,47,,0
98435,95826,California,1354,7,3,8,11,12,7,7,10,10,7,5,6,11,7,12,6,14,9,7,9,6,6,3,5,2,17,15,12,8,6,9,12,7,11,7,5,10,11,10,10,12,14,3,22,13,14,5,8,15,9,13,17,19,22,15,19,19,12,10,14,17,22,24,25,27,23,13,22,20,10,8,9,13,23,23,12,21,12,13,9,16,14,10,9,16,26,15,29,27,21,24,20,14,20,9,16,17,23,18,19,23,22,22,12,11,22,8,13,13,14,21,16,23,10,20,18,12,16,10,16,21,35,27,24,23,28,0
84689,60707,Illinois,1355,7,12,11,15,7,12,14,16,10,7,5,8,16,10,5,14,7,10,13,16,8,14,23,14,10,13,12,15,19,9,16,6,6,9,7,7,10,8,17,15,14,14,14,14,7,9,7,6,16,15,16,12,18,17,11,15,15,11,27,14,15,15,13,11,22,16,23,29,17,25,11,12,14,18,20,24,22,20,26,23,22,25,16,18,18,14,26,34,27,39,37,33,19,23,19,16,13,13,24,39,18,41,29,27,34,20,17,12,17,23,26,46,31,36,31,34,16,29,38,18,20,23,17,29,32,42,0
80261,50266,Iowa,1356,8,11,12,8,19,8,9,11,8,7,1,7,10,7,10,15,14,17,13,6,12,10,2,2,3,13,9,8,6,5,4,4,3,3,3,5,6,8,7,4,6,5,9,6,7,7,5,6,10,18,11,13,15,9,8,11,12,15,5,9,19,12,19,24,28,31,24,16,15,12,9,15,22,12,11,16,23,16,16,12,16,13,11,7,12,12,26,31,34,22,18,17,9,15,11,14,17,14,34,24,19,20,16,24,23,23,16,13,13,19,21,19,17,24,13,14,18,8,14,12,20,19,40,24,40,,0
58778,02472,Massachusetts,1357,14,15,20,30,21,20,14,9,6,9,10,5,9,13,18,16,25,22,21,16,19,14,14,8,14,19,18,32,11,12,7,14,11,11,11,8,9,11,9,30,10,9,9,9,10,10,7,8,8,13,18,33,19,16,12,8,10,12,11,7,9,19,16,33,30,18,22,17,21,15,10,4,8,26,23,26,36,29,12,11,17,22,4,3,11,6,18,32,29,22,21,7,16,20,8,6,17,15,13,25,12,18,20,11,8,24,13,8,11,5,21,14,14,15,11,13,9,8,9,5,9,6,13,24,16,,0
93212,80022,Colorado,1358,16,17,24,24,16,26,25,28,23,18,16,12,14,14,20,18,19,12,14,19,13,20,16,5,15,15,20,11,14,16,12,16,17,12,5,7,15,20,20,14,12,21,13,13,11,18,9,17,13,24,32,22,28,32,24,21,17,19,24,13,25,27,39,44,40,42,35,36,16,19,17,32,35,34,40,37,49,47,33,46,23,32,27,26,37,63,49,60,65,52,47,56,34,56,27,27,39,33,47,55,38,51,37,44,33,52,27,28,29,46,49,49,59,46,44,42,45,53,42,20,26,44,57,50,44,53,0
94765,85051,Arizona,1359,2,6,6,6,3,5,5,5,5,2,1,1,3,3,4,3,9,2,4,7,7,7,4,5,8,14,13,9,5,5,11,6,5,3,3,4,8,3,2,4,5,9,14,6,14,8,6,7,9,7,18,16,15,16,13,7,14,13,15,15,24,27,16,25,16,26,9,5,11,12,8,6,13,16,5,12,11,11,11,7,12,10,5,9,10,15,11,20,19,17,12,12,9,12,10,10,7,6,25,17,14,19,8,12,11,12,7,9,19,20,26,24,9,18,14,11,10,15,12,21,20,30,18,20,30,17,0
97516,94025,California,1360,1,3,4,5,7,4,1,2,6,2,1,0,1,6,5,6,4,4,3,4,10,7,3,5,3,3,4,7,7,9,7,5,9,4,5,6,6,9,7,7,6,8,7,4,7,10,1,7,10,5,6,8,7,5,10,2,12,7,2,4,10,5,17,7,11,12,7,10,8,6,1,4,5,5,6,7,14,6,4,6,12,6,3,8,9,5,9,3,3,6,9,4,7,7,5,5,9,7,7,7,6,12,3,2,7,9,2,7,7,4,12,11,5,6,3,4,3,6,2,3,,,,,,,0
73210,34761,Florida,1361,13,8,13,18,19,14,13,19,10,13,4,9,13,9,10,16,21,22,20,28,21,17,10,15,23,19,18,31,25,17,13,19,11,11,19,18,16,9,15,18,9,13,22,17,14,17,10,10,20,10,15,13,14,18,15,20,19,14,7,15,18,12,16,19,15,15,13,13,11,10,25,12,28,18,26,20,32,21,31,29,23,26,28,15,32,31,47,48,33,46,27,35,24,19,26,27,27,33,32,41,46,51,31,30,22,35,38,29,29,26,28,45,45,50,26,32,37,37,38,22,42,34,44,34,42,40,0
94481,84121,Utah,1362,15,18,15,18,17,15,20,21,6,6,3,11,4,11,13,13,14,13,16,15,12,15,2,6,10,16,12,16,5,15,3,7,5,7,9,4,8,5,10,11,5,13,15,8,6,5,7,1,9,10,12,11,9,13,9,8,20,4,6,12,7,18,15,14,15,12,4,19,15,17,13,11,13,8,20,18,18,13,18,11,15,8,6,11,11,19,22,21,19,22,18,11,11,17,8,5,15,10,18,29,17,14,19,29,17,22,10,8,19,10,25,25,22,19,16,25,14,15,8,11,9,21,11,17,16,,0
