"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"33036","Islamorada","FL","Key Largo, FL","Monroe",1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647500,650000,637449.5,579000,579000,550000,550000,515000,532000,564500,629000,629000,626950,599000,629000,629950
"85004","Phoenix","AZ","Phoenix, AZ","Maricopa",1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292000,244500,281944,281944,274900,267400,274900,279000,319950,337950,359900,324950,329900,329900,320250,312450,319000,334950,348000,331450,305000,302500,327000,326000,327000,324388.5,324450,299777,299900,299900,289999.5,299900,285875,278475,264900,264900,265900,266900,289000,287950,291950,294900,294900,318750
"78373","Port Aransas","TX","Corpus Christi, TX","Nueces",1043,245000,245000,247450,239000,242450,232500,224500,190000,189900,189900,190000,179250,189850,179000,193950,198750,205000,215000,216750,216000,216000,215500,215500,215000,218950,225000,227000,219000,219499.5,219999,224990,219999,229000,219999,219999,222495,219999,224900,220000,227000,225000,219999,219999,225000,237500,238250,237500,238250,239000,240000,240000,249700,249000,259900,289000,289000,280450,289000,299250,287000,289000,289450,292075,289900,292075,289900,284600,281650,285000,279000,285000,298000,296500,298000,289000,299000,299000,289000,291250,289000,289000,285000,278500,279000,279000,279000,280000,285000,285900,279450,279450,279450,286950,289900,289000,279450,305000,315000,324750,315000,3e+05,305000,315000,324750
"80443","Frisco","CO","Breckenridge, CO","Summit",1044,,,,354500,359500,359500,355000,346500,340000,344250,337500,337500,348500,332500,329950,325000,327450,316375,325000,320000,320000,339000,332250,342500,349000,349000,349000,338900,349900,338900,320000,336150,319000,3e+05,319000,299000,319450,324000,299945,319000,319900,324750,330000,337000,339000,347000,342500,339000,339450,327000,344950,342950,347000,354800,324950,339450,349000,349500,362500,349000,351450,321950,329900,329000,364000,396449.5,399499.5,399450,399000,398000,398000,395000,395000,392500,398450,399900,411000,399450,399900,425000,419840,415000,419950,428000,439900,435000,439250,439950,439950,459000,459000,459500,454450,467450,465900,482450,512000,517500,550000,519000,499000,518000,520000,522450
"60195","Schaumburg","IL","Chicago, IL","Cook",1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134000,133350,139947.5,139900,136700,148500,151450,150000,149896,149000,149896,149896,148250,149896,149448,149448,149896,149900,149948
"29451","Isle of Palms","SC","Charleston, SC","Charleston",1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577000,595000,577000,595000,626950,624900,624900,599700,572250,559000,569500,594450,589900,617000,591950,599000,599000,587500,586250,585000,577450,599000,598500,592750,574900,567500,579000,579000,622000,639250,649750,660000,715000,677500,687500,699000
"28512","Atlantic Beach","NC","Newport, NC","Carteret",1047,364500,350000,350000,359000,399900,399900,399000,399450,379900,377000,379450,375000,379900,369000,365000,367000,339000,325000,325000,325000,325000,310500,309900,310000,319900,280000,277000,280000,269900,284000,289000,292000,290950,292000,297000,298000,295000,295000,270500,275500,270500,270500,270500,275000,275000,275000,270000,255700,255000,255000,255000,255000,252950,255000,260000,260000,261500,259500,261500,269000,269000,270000,269000,275000,269900,266000,269950,284900,288900,286000,285000,285000,286950,275000,275900,279450,274950,264900,269900,275000,265000,264000,257000,254000,249000,249450,249900,264000,260750,263250,264000,261250,266500,266500,267000,274900,279500,288950,274950,279000,275000,281950,289700,290000
"30313","Atlanta","GA","Atlanta, GA","Fulton",1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212500,2e+05,219000,2e+05,2e+05,197500,199450,217450,236400,231400,231400,219900,232900,224900,225000,239900,230000,239000,225000,225950,225000,239900,242450,247000,249900,269000,265000,274900,250000,247500,239900,239900,242500,249950,257500,277000,232000,234125,239950,249000,244900,259500,249000
"28594","Emerald Isle","NC","Newport, NC","Carteret",1049,,,329950,336950,339000,339000,334500,343500,339000,332000,329000,329000,329450,319750,329000,329000,329450,325000,325900,317200,317200,309700,309700,309700,305000,305000,307750,308500,299900,294750,289900,294500,289900,289900,299450,295000,289250,289900,280000,289500,280000,280000,284500,290000,289000,290000,299000,290000,289500,282500,280000,277000,279900,269900,275000,279900,270000,260000,264950,268000,250000,249000,239000,249700,249000,249000,249250,258500,256450,257500,259900,268000,270000,270000,265000,267450,269950,269000,257500,275000,275000,275000,275000,275000,280750,285000,279500,295000,296750,298500,285000,279500,285000,286250,305000,310000,315000,315000,319900,321000,319750,319750,319250,320000
"08243","Sea Isle City","NJ","Ocean City, NJ","Cape May",1050,674900,649900,657950,665900,675000,675000,678950,676950,679000,675000,699000,675000,659000,697000,699000,699000,699500,699000,699000,699250,699000,639000,619902,619000,609000,609000,619000,619902,644000,645000,667400,659000,659000,639000,650000,639000,649500,622165.5,622449.5,619331,624900,627000,619000,627000,649450,649900,667000,677000,649950,650000,649000,650000,659000,699000,618000,572499.5,575000,569999,569000,569999,577000,559000,575000,599000,649900,679000,675000,659900,675000,685000,689900,707499.5,699450,675000,679000,754450,749900,731450,726450,699999,589900,584450,579000,550000,5e+05,498500,510000,499900,499900,510000,479000,477000,549000,541950,515000,509000,470000,477000,470000,472500,507450,494450,450000,517450
"28480","Wrightsville Beach","NC","Wilmington, NC","New Hanover",1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674900,725000,699000,699000,697000,662500,680000,677500,711950,684000,695000,749900,749950,725000,649900,625000,697000,725000,712000,725000,714900,725000,699000,712475
"49615","Bellaire","MI","Lake City, MI","Antrim",1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126950,133900,129900,129450,129000,132000,130500,130500,126900,119000,119000,119000,119000,120500,127450,119900,119000
"89451","Incline Village","NV","Reno, NV","Washoe",1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649900,624450,585875,549000,549000,549900,559000,594000,618500,649000,739000,742000,732000,735000,699450,698000,727450,684000
"33306","Fort Lauderdale","FL","Miami, FL","Broward",1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249950,249500,262000,266250,259900,270000,259950,267000,252450,282500,275000,279000,275000,249995,245900,239700,235000,218500,226450,219000,199000,202450
"08202","Avalon","NJ","Ocean City, NJ","Cape May",1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649800,699450,685000,660000,645000,665000,699900,699000,694450,699900,669000,669000,634000,597000,659000,697000,665000,599000,599000,614500,649900,649950,630000,630000,639500,679000,679000,569000,545000,589000,632500,679000,699000,699000,650000,675000,649000,650000,649000,675000,677000,652500,649000,599000,599000,599000,599000,619000,589000,577000,495000,549000,554500,579000,579000,564000,585000,585000,579000,579000,609450,579000,579388.5,611950,624900,624900
"33946","Port Charlotte","FL","Port Charlotte, FL","Charlotte",1056,,362450,344950,340000,349000,349000,349000,349450,344500,322500,330000,307500,320000,325000,340000,369000,350000,349950,350000,350000,349950,339000,326400,332500,322450,324900,339000,339250,298500,285000,299000,3e+05,285000,277500,280000,319000,319500,322200,324900,324900,312000,324900,329900,325000,327000,329000,340000,339000,349000,357499.5,355999,359000,365500,325000,329000,349000,332000,349500,355000,357000,359000,360500,350000,350000,352500,349500,350000,350000,350000,345000,339900,339000,339000,335000,337000,335000,322500,325000,319000,319000,319000,319000,302450,299900,319000,325000,325000,349250,349250,342450,325000,293500,319000,339000,363500,352000,367000,329900,369900,365000,359000,345000,345000,324900
"11005","New York","NY","New York, NY","Queens",1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,599500,649000,619000,609000,624000,619000,619000,609000,625000,625000,649000,762000,765000,765000,732000,625000,599000,579000,549000,559000,559000,539000,539000,549000,549000,535000,539000,519000
"08751","Ortley Beach","NJ","New York, NY","Ocean",1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,234900,248881,259900,287250,290950,289900,249900,249900,249900,247450,249900,249900,252450,249900,259800,262400,266950,269000,264900,269450,254900,247450,254900,249000,249000,257400,274900,279900,279900,249900,249450,249000,272450,277000,272400,269450,269000,274450,279000,264950,260000,264950,280000,304000,281200,282500,279000,299000
"83353","Sun Valley","ID","Hailey, ID","Blaine",1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345000,349500,342000,379000,410950,399900,419000,393500,410000,422000,422000,429000,429000,427000,432450,422500,408500,403000,355000,355000,342500,350000,342000,355000,398000,376500,395000,395000,395000,377000,392000,395000
"78597","South Padre Island","TX","Brownsville, TX","Cameron",1060,250000,249250,249000,249000,249000,250000,249000,249000,249000,249000,249000,249000,249000,251000,258000,254900,250000,252000,250000,249750,250000,249000,235000,225000,225000,235000,225000,225000,229000,230000,229500,229500,239500,239750,240000,241500,247500,248750,249000,240000,239500,238250,246000,229500,229900,249000,249250,259000,249250,249000,261500,285000,272500,294900,288250,295000,279999,295000,267500,268700,259450,277900,289000,295000,284500,290000,292450,279997,279000,279000,279000,279000,274950,259000,259000,259000,279000,276750,279000,279000,279000,277000,279000,289000,264900,249000,275000,284000,292500,292500,290000,279000,286225,289000,290000,289000,289000,287000,279000,280000,294000,299000,299000,299000
"53125","Fontana","WI","Town of Delavan, WI","Walworth",1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364000,367000,369500,376950,379500,374900,360000,307500,297500,286950,329000,344475,294450
"42518","Bronston","KY","Somerset, KY","Pulaski",1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,139900,139900,139900,139900,137450,134900,130950,126900,123900,119900,119450,125000,129900,123900,120000,115000,124400,124900,124900,127200,129500,129250,129500,124900,124900,124900,124900,129250,134900,129900
"81615","Snowmass Village","CO","Aspen, CO","Pitkin",1063,,,,980000,980000,825000,937500,949000,839000,839000,839000,815000,795000,830000,795000,795000,792500,795000,850000,832000,835000,834900,850000,795000,770000,759000,750000,750000,750000,705500,705500,682500,675000,685000,690000,740000,765000,748300,744100,739900,725000,749500,717000,717000,785000,767500,750000,748300,715000,715000,7e+05,719000,737000,715000,699000,699500,775000,795000,795000,785000,775000,781500,791500,781500,775000,791500,825000,824500,824000,795000,799000,795000,795000,795000,795000,795000,799000,797000,799000,799000,797000,795000,797000,796000,795000,795000,797000,760000,762500,770000,739000,775000,870000,822000,847500,799000,815000,770000,893500,875000,889000,995000,924500,899000
"28449","Kure Beach","NC","Wilmington, NC","New Hanover",1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272400,267500,268500,272000,266000,289450,289900,257500,289900,269950,270000,269500
"22958","Nellysford","VA","Charlottesville, VA","Nelson",1065,,,,,,,,,,,219000,199000,192000,185000,182500,185000,185000,182500,179000,179000,179500,185000,169000,169000,159000,165000,155000,149900,145000,145250,169900,165000,159500,167000,165000,159000,159000,159337.5,159000,159675,159900,159675,159675,156500,158500,159675,149950,157000,159900,166425,169750,171350,159787.5,154475,159250,159000,159250,159000,159000,159500,159250,166200,164750,168450,165000,162500,155000,156950,154900,154900,165000,160750,160000,159000,152900,147000,143750,144750,149950,149000,139250,137500,138250,135450,133900,149700,144475,135700,137500,135000,132500,145000,129950,129975,129950,132500,135000,133750,129450,121950,131700,136000,137500,129400
