RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
88825,70816,Louisiana,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93700,84900,95800,100600,98700,95300,88e3,88e3,71e3,71800,69500,69900,66400,67400,75900,75500,74e3,67600,70300,69200,70800,67100,72100,72800,77600,72400,85300,91400,90600,89500,76700,82100,77900,
93252,80123,Colorado,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181400,184600,184200,203200,209500,213900,203e3,207400,208700,214600,216400,221800,221200,215600,225400,230300,235900,234e3,245e3,249300,249200,244400,251700,251e3,250800,250100,253100,254800,256600,257200,269e3,264900,280900,284e3,294700,281800,278900,278700,294700
99947,98661,Washington,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199100,199200,189400,193800,199900,215100,216600,217e3,220400,224300,226e3,225300,230100,234500,241500,236500,244400,242900,250300,245300,246200,243200,246600,245e3,255900,260200,266700,258900,263100,268300,280600,280200,281e3,278800,276900,273e3
92610,78681,Texas,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137600,126100,128900,123600,137700,140400,144700,143200,138700,137e3,135800,138100,140300,143600,146900,155700,158100,156100,150100,151800,158900,162700,163700,163800,161900,163200,161900,168600,168700,169100,169e3,174900,182e3,180700,179100,176400,181900,188600,189700,187700,183500,188500,192900,187500,184600,186100,199200,205e3,205100,196500,195400,196800,193200,192600,196900,199900,196e3,192900,199300,201600,203400,205e3,211200
70457,29414,South Carolina,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107500,104200,103e3,112900,119700,13e4,124600,13e4,127600,133100,126900,124400,121e3,100600,101300,106700,126500,127100,130200,131100,125500,122600,123800,144100,143600,137500,123900,127700,143200,148e3,151600,152900,157600,
66597,20744,Maryland,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155500,163300,164600,157900,151500,151400,147600,157200,156e3,158300,147800,146400,139200,141100,148400,156900,167500,166500,171300,176200,182800,178600,175900,174300,186800,188400,192300,187600,188700,188e3,192400,192400,194300,187500,186900,181600,197100,198200,200800,185100,180700,189700,204e3,203700,202e3,199200,205700,205900,202e3,209300,207300,211200,210800,210900,203800,203400,196200,209600,212300,235900,228100,220100,214800,232600,244200,245700,232800,232500,224900,230900,234200,242600,244100,243300,236600,23e4,219900,227500,236e3,245200,247600,242900,249100,
93596,80918,Colorado,284,161700,155600,150400,148100,147100,151600,151400,145800,134100,129500,133200,131600,129600,131e3,141900,148e3,149800,143e3,139800,132300,134e3,134200,143100,147500,146e3,135800,131200,132800,130900,132700,131500,135500,130100,128e3,138200,141400,138300,126e3,120100,124200,125300,122800,122900,113300,113700,109800,125900,131900,138900,135700,140700,137600,137900,134100,139300,135600,135400,133100,138500,140900,141400,141100,139700,137e3,132300,135500,139100,136100,132400,129100,130300,131600,134900,135800,132300,136900,143600,144300,130600,132800,138400,130500,120700,115800,127100,141e3,151500,152100,147700,148200,158400,162400,159300,156300,162500,161500,167800,163500,160900,158200,155300,150300,148900,147900,154700,156800,164600,171500,165900,153800,153300,157300,164200,174400,186100,194100,191800,194900,210200,209200,203200,186400,199600,201300,208800,201300
65816,19149,Pennsylvania,285,123800,118800,117e3,113900,115200,121600,121500,126800,123400,120300,117800,116500,118900,114400,111400,110900,111800,117e3,118700,122700,121300,117800,116400,117900,120800,118900,117100,119700,118800,117600,115300,114600,116200,111100,108600,104800,107500,106600,102700,103100,103600,108600,106700,107100,101400,97500,99900,95e3,96300,93300,99400,1e5,96300,100300,102700,105500,102200,96400,94400,90400,92900,94e3,95300,98500,99500,105700,103100,104300,95700,97100,95900,102300,96600,91800,93200,101500,108800,105100,104400,103100,103600,98700,101300,101800,103500,97600,97400,98300,102400,104800,105200,106400,104600,106200,106200,106300,107700,106900,108600,107800,109300,109800,112700,113300,117700,117400,118400,114800,114600,116400,114900,114700,113600,120700,123e3,124800,126200,122600,128800,124e3,128e3,119500,121900,127500,134900,
97083,93003,California,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257e3,263300,263500,278700,292700,308200,321900,323600,316200,299100,301300,297200,313300,312900,322e3,297700,276700,271e3,285700,301800,306300,310900,314300,316e3,316300,325400,337e3,347500,339700,344700,342100,342900,342e3,337500,346500,344900,349100,338e3,333200,332700,350100,335e3,326400,325800,353800,371700,363300,365e3,361700,372400,374e3,397800,398900,411900,407700,418900,412500,402100,393600,368900,383e3
65943,19464,Pennsylvania,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62400,66700,66100,74200,72e3,72700,73400,75400,74800,76200,75600,80200,78300,81300,75100,80500,72900,77700,72500,76300,69e3,68e3,72600,81100,87800,86700,88800,92900,96700,96200,88900,96400,97400,101500,91900,88300,91100,96300,110700,
67307,22554,Virginia,288,264800,252600,231300,222300,223e3,211600,199400,188100,187600,191e3,189800,188200,183100,180100,168900,169300,165300,165800,158700,170300,175900,180800,168700,173400,170700,168600,166100,177800,188400,193200,184700,178400,177500,182100,178300,168700,156400,162500,164800,164700,164e3,159600,168100,175e3,182300,182300,177300,175600,178600,180700,191200,195800,192800,194500,185200,186400,177900,184200,191600,194400,202500,200300,203300,201800,206500,209e3,197100,202400,205400,228e3,227500,224e3,210900,214500,217e3,216300,213700,214900,222100,220100,228200,230100,237200,232800,231600,226400,229200,228500,230500,228400,229200,228100,224500,218400,213900,224600,225800,233300,226700,231700,234200,234100,234300,232500,229500,234800,235100,244900,250200,253300,249200,247700,244900,243300,243400,256800,269200,269600,259100,249100,247100,249400,251500,256700,262400,267400
94914,85338,Arizona,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161300,163700,165e3,165900,166500,165700,167700,167100,168500,168900,171500,176100,177700,178400,178200,180100,184400,182900,187400,184900,189700,187200,191300,193500,194400,196400,196800
73195,34741,Florida,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61800,59400,6e4,59100,59600,58e3,63500,61e3,63600,59800,63400,62300,62400,66300,65100,65300,63800,68800,71300,74100,74800,76100,73100,74600,76300,77200,75800,76700,80500,81500,83400,85200,86300,87300,88100,89700,91400,95900,102100,109400,110100,111100,106400,102200,100500,104200,114500,118500,117e3,107900,107400,106100,116100,122300,129500,123200,125400,122500,122e3,
93202,80012,Colorado,291,103900,92700,98600,99400,107600,108500,109e3,111200,107900,107100,103200,103200,97700,94500,101800,95e3,98800,87600,103800,100900,110400,96800,95600,93800,101800,94900,96900,99300,101500,96700,94e3,95600,90500,88700,94600,101400,103e3,102500,104600,93300,89400,88400,98e3,102e3,98800,96800,92100,97e3,1e5,108400,102600,107300,107100,109300,113400,112800,115600,111300,108500,115100,110800,12e4,112800,117100,109700,112e3,120900,134300,133e3,125800,112100,104900,105e3,107200,125900,126500,131e3,124900,127300,127400,130400,132700,140100,144e3,150200,153e3,155300,150100,147700,148100,159100,167200,17e4,179900,173200,194700,188100,192e3,171500,173900,179100,181300,180700,180100,184900,188900,198900,199800,200900,197800,202e3,204e3,204300,209700,208500,210900,201600,205e3,214600,,,,,,,
72312,32935,Florida,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500,46700,47900,48300,47600,46700,47800,45600,43400,42300,44400,45700,48500,46e3,47300,47e3,48200,48600,47100,48900,49100,50900,51500,51200,50400,5e4,49400,47900,48700,50900,55500,55900,54600,54600,57200,56700,57600,57900,63200,61e3,63200,59400,63100,57200,61400,60400,65700,66500,67400,66100,69e3,73e3,75400,73400,72200,75300,73300,74700,73400,8e4,89300,95900,94200,89400,9e4,96300,95400,96500,99900,103e3,106600,106600,114300,116600,121900,118e3,116500,114100,114900,118700,119100,125200,
99137,97223,Oregon,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230100,240600,245300,252700,252700,256300,248300,252500,249700,238600,230800,253500,268500,268800,250600,265700,294600,309100,306e3,282e3,264300,277100,280900,304100,290500,292900,278700,294100
96613,92057,California,294,281600,269300,259e3,228700,212200,217300,206800,206600,197600,197600,202400,187300,171400,147100,154e3,155500,161e3,166200,177e3,184200,187500,194100,189900,176800,178400,185300,206700,204700,207300,188200,182e3,171500,174200,168900,163800,159e3,165500,163800,181700,181700,203800,198100,194100,190200,184100,189e3,175500,167800,168700,166100,180400,18e4,186300,178400,187700,189300,215e3,214e3,222200,214600,212400,218e3,225e3,227900,228500,221400,235700,237e3,249800,239200,243200,225100,230100,236600,266100,282700,277500,285e3,271800,284300,274e3,281900,275100,259700,256900,256400,266300,266800,271400,270900,277500,274400,274200,272600,285600,292400,301300,293700,292900,286700,295200,308700,305e3,309300,304600,318e3,320700,338600,342700,349200,336800,338400,344400,346400,342500,331100,335600,344600,353100,348200,345700,343900,361700,373700,375200,377800
82107,55106,Minnesota,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96700,107300,107200,106300,107100,108400,115600,116200,115500,110900,112800,115200,116600,117700,120500,122900,123500,124200,128200,130900,131200,127200,127800,130600,136400,137500,133300,130900,131600,134500,134700,128900,131600,134100,139300,138100,136500,139300,137700,143900,145e3,150800,147200,148e3,151700,156500,153200,152e3,152400,156300,160400,161700,162400,155500,154500,159500,168400,172800,174e3,169300,169e3,169700,176300,180200
417437,85122,Arizona,296,140500,135300,133800,128300,128500,122e3,116400,111800,103600,101400,102800,105700,106300,101e3,96200,92500,89800,89100,89300,84900,83400,82e3,84300,86100,85100,85100,87e3,84900,81700,77600,8e4,81800,78900,73200,67400,7e4,74500,78e3,75400,75300,71600,71200,66700,69700,69900,71100,74200,68200,68600,68200,74700,77400,78100,81900,84200,83400,76900,76700,84100,92200,94300,93e3,95600,99e3,99700,101800,102e3,98100,99800,101900,104e3,109700,112600,118600,117800,115300,115700,109600,111100,112100,115400,116100,116500,121600,122700,121100,118100,119200,122400,122600,119100,119200,118100,123200,130400,133100,133800,130300,130900,132100,134500,137500,142400,142200,143700,142900,144300,147e3,148500,149500,149100,150800,151100,153300,150900,153e3,151500,148e3,142100,147e3,154800,161200,158800,162300,164700,
60714,07601,New Jersey,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169400,158e3,161300,170200,166500,161200,169700,170400,178200,166600,164600,165100,168600,185300,180700,175200,169800,181200,180600,173900,169300,183400,178100,182700,180300,189500,196900,198500,197100,181100,170300,174800,165800,165400,158900,171200,173500,171700,171400,169700,174600,180300,190200,193300,191800,190500,198300,200400,183500,178300,169700,192900,201200,204300,199400,182100,191500,19e4,188700,196300,200400,
