RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
65783,19115,Pennsylvania,980,224200,216100,229800,226400,225100,225600,213800,229100,221800,228400,216900,220300,219300,220800,216200,217400,213500,218600,221300,226700,219600,215300,214800,205500,206200,199900,213100,213100,219800,217500,214800,219600,216300,220100,208e3,203600,193300,187500,196800,208400,203400,191600,182e3,201100,202400,198900,187800,184200,188800,189900,198600,195e3,189100,185100,188900,191100,188400,192600,188400,189700,184500,185400,187100,188400,195200,197100,200300,198800,201200,200200,208700,201700,202e3,194600,202300,198900,193700,189e3,191300,189900,193100,193e3,197600,198300,195800,198900,193100,194300,195e3,208e3,205300,206800,196100,201900,200800,204800,203900,215e3,210700,212600,202700,205300,205700,206400,203600,203e3,203500,207500,211900,213900,219400,222700,221100,219800,216600,226100,228500,233500,232200,221e3,218e3,222100,234800,238300,225500,
97731,94523,California,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486100,467200,459100,469800,476300,448100,429500,463400,46e4,479300,452100,476900,473200,465600,494e3,507500,537700,517500,529400,510500,508900,502e3,540400,555800,577500,582100,594e3,607900,605500,603800,598300,630400,660300,684700,68e4,654100,635300,617200,628700,643500,677700,675600,699200,687e3,722900,705900,715200,704100,701600,711600,726800,736e3,731800,743800,737900,732700,694400,704300,705600,749100,753300,783400,781900,774600,759900,783500,802300,824600,801800,797600,768800,782500,804700,810600,813900,809300,843600,827700,854100,884300,898300,892700,896200,910700,899e3,862600,
97788,94582,California,982,,,,,651100,631800,642400,616e3,623400,622300,642400,636300,598400,590600,580500,615300,597100,579e3,559900,549600,555400,543300,581300,579500,576700,574200,572700,603400,581200,604300,583200,583800,549300,545300,527e3,545800,548300,556e3,547200,531300,527500,524400,526700,523300,511500,510900,509500,518600,493500,505800,518100,561600,560600,562300,568200,564800,574600,566400,611700,623100,636900,637200,644e3,666700,673500,695800,691e3,688500,676e3,696700,691200,708700,708100,736500,741300,758800,754300,757800,741900,762200,759700,767900,785300,812400,839200,82e4,811900,813600,853e3,876900,889e3,892300,898500,902400,873700,856100,828300,837e3,862400,867300,884e3,844400,870200,857600,903500,887700,908700,899800,931900,944400,943500,916800,881100,891e3,894900,874700,866800,896700,966600,965100,987e3,982100,1016500,1018100,1049100,1024100
96884,92505,California,983,,,,,288e3,271400,261600,252100,251500,247500,240400,224400,212e3,213600,215300,220900,211e3,208200,202500,200200,193100,193600,195400,196400,186800,189700,201500,205300,206400,200200,208500,210300,206100,205400,197900,201200,197900,207500,209e3,211700,207e3,205900,200700,197700,194e3,194600,192500,192400,190500,199600,205200,204600,201300,205400,209700,208600,205600,209400,218300,215e3,215500,220400,231e3,240200,245300,253e3,260300,260800,262200,271100,271700,274e3,266500,268500,272100,280100,282500,281600,279100,286200,291100,295500,296300,278500,285300,286400,310500,307e3,306300,306700,31e4,317500,318800,321100,323500,323500,323700,326600,328300,328900,328400,323600,324800,319600,325100,327300,337200,343e3,346700,347700,343700,349e3,352700,366400,366400,368300,368400,371200,368300,366600,360300,370500,376800,389100,385800,377700
85963,63146,Missouri,984,173400,173e3,178800,171300,172400,164e3,163100,163e3,167e3,176700,173300,170600,167800,167600,163500,159900,156200,158e3,157400,159e3,147900,145300,153200,158500,167900,167900,171700,168700,161100,155e3,153700,150300,154200,142800,145e3,154200,168200,161900,147700,136200,142500,140900,146900,146e3,151700,150100,149900,147400,149900,148600,151800,141300,145400,144300,150400,151200,151100,155300,151600,153900,145e3,146900,143800,145400,145200,142500,141500,141100,144600,152800,150300,153600,144200,147200,147300,151200,153200,155900,152400,149300,144200,153200,158300,153400,154400,146400,158100,148600,149800,144200,150200,157900,156700,151e3,154400,154400,158200,156800,157200,164900,168100,172300,174500,171100,175800,166300,163700,164e3,176e3,182300,177100,173e3,169600,173e3,168700,168300,168400,178500,182600,177300,183900,183e3,187900,181100,184900,191300
58481,01760,Massachusetts,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427900,408500,413500,414900,427800,428500,432600,431200,434500,474100,468400,456900,426500,444700,462300,470400,458600,445500,444300,452100,488400,513800,508400,512200,496600,512400,497800,
73029,34205,Florida,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175200,179300,182e3,184500,188200,189200,193600,188400,196400,201700,205700,198300,197100,205900,214300,218100,212800,220300,228400,230300,221100,227300,230700,238400,226e3,220900,212500,209e3,216700,219600,227600,22e4,225100,229800,233300,228600,225100,224200,229400,225100,237100
72770,33707,Florida,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124300,118e3,113900,111e3,112300,116600,122300,122900,115800,110900,127700,134100,133e3,115600,108800,112200,109800,114e3,116e3,125700,129500,127800,124300,122200,126600,130500,131900,128700,126900,125700,124700,120500,122800,126500,130400,131500,131400,134200,136300,140600,141400,137500,139400,139600,146200,148500,153600,151600,147100,141900,141200,143100,147800,152100,152800,154400,153500,152100,148800,149700,153500,158600,162500,159600,157300,163200,168800,175200,169e3,170600,178e3,183600,184e3,174100,171700,175900,177100,181800,184e3,193900,186e3,183100,183300,193200,196700,194400,201600,208500,
96383,91360,California,988,557300,546600,527800,500300,483100,491600,479500,471100,450700,460900,461700,460800,457200,447500,461400,456400,444300,436500,424800,437300,434400,421100,421300,433100,454900,445800,444100,437700,441400,437100,440100,434e3,426600,431100,447200,445700,440100,439500,446600,436600,420300,404700,397300,408500,404900,399900,393600,412400,436300,425e3,412100,403800,403e3,409700,415600,430700,428500,426e3,433100,446500,458600,471600,468900,468200,465100,472300,484500,496200,505700,505800,499e3,513300,520800,526400,516500,516500,522400,526200,525800,517800,499800,493700,507200,522800,522300,513800,518100,52e4,528100,529e3,538600,541300,545400,554e3,552600,560900,565300,566800,573500,580700,592200,595400,579400,564200,562800,577300,604600,592500,587900,582100,593800,598300,584900,590400,580500,595600,592200,605500,621900,631200,646800,644400,638300,644100,641900,645e3
96967,92649,California,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505e3,501900,509400,548e3,536700,538800,529800,550600,537900,554900,545100,569600,570200,582100,573500,554200,580900,582700,619600,556400,568200,558100,584400,569500,582300,59e4,605900,614e3,644800,650100,638e3,626800,638800,638800,650600,659e3,661200,652600,646e3,653900,646600,653800,663600,668100,679600,690300,699100,681600,670200,677e3,688100,696300,719600,722600,733200,701700,661200,645e3,,,,,,
