"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"11211","New York","NY","New York, NY","Kings",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199500,2199000,2200000,2350000,2200000,2200000,2300000,2374500,2399000,2499000,2499000,2350000,2150000,2297500,2300000,2450000,2474999.5,2474999.5,2499999,2649000,2624500,2700000,2737500,2775000,2700000,2700000,2424500,2400000,2388000,2495000
"11373","New York","NY","New York, NY","Queens",29,749000,793500,774000,789000,798000,825000,825000,799000,779000,799000,799000,799000,799000,789500,799000,799000,789000,789000,790000,785000,815000,825000,819000,829000,829000,825000,849000,898000,859000,849000,859000,849500,854500,877000,888000,893000,849500,854500,849500,849000,849500,789500,814499.5,814499.5,864000,849000,864000,898000,899000,899000,899000,925000,991500,1109444,1118888,1121944,1100000,1100000,1100000,1049000,1018000,1198000,1150000,1150000,1150000,1132500,1100000,1115000,1165000,1160000,1180000,1190000,1240000,1215000,1230000,1280000,1250000,1200000,1192500,1244000,1215000,1154500,1213400,1230000,1215000,1250000,1299500,1237500,1290000,1350000,1354444,1363444,1390000,1394500,1393500,1425000,1450000,1450000,1395000,1299000,1400000,1392500,1392500,1399000
"11385","New York","NY","New York, NY","Queens",29,599000,599000,609000,609500,598500,590000,599000,599000,590000,599000,599000,598350,599000,599000,589000,585000,589000,595000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,589000,589000,579000,584000,599000,619500,629000,635000,629000,629000,639000,639000,659000,675000,675000,719000,699000,681500,694000,689000,720000,729000,738000,733999.5,744000,784000,799000,799000,799999,855000,859900,879000,899000,894000,874000,859000,849000,859499.5,875000,894000,949000,949000,982500,975000,985000,999000,999000,999000,998800,999000,1054500,1054500,1050000,1178888.5,1188000,1200000,1200000,1150000,1100000,1125000,1095000,1090000,1099999.5,1150000,1180000,1192500,1150000,1150000,1200000,1200000,1238500,1289000
"60628","Chicago","IL","Chicago, IL","Cook",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,65000,59000,59000,59950,60000,69900,65000,65000,59900,66000,63900,60500,65500,69900,72000,80700,84900,84900,79950,81200,84900,89900,77000,70000,74900,70000
"90019","Los Angeles","CA","Los Angeles, CA","Los Angeles",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899000,917500,984500,950000,974950,980000,949974.5,990000,1e+06,915000,925000,930000,994500,935000,935000,925000,959000,1010315,1022500,1049000,1095000,1050000,1100000,1100000,1270000,1149500,1050000,1150000,1099000,1197450,1199450,1099500,1187000,1200000,1200000,1199000,1199900,1299000,1300000,1249500,1295000,1289000,1250000,1250000,1399000,1362500,1469000,1399000,1460000,1450000,1465000
"11236","New York","NY","New York, NY","Kings",33,549000,549000,547900,545000,525000,519000,519000,519000,510000,499999,499000,499700,509000,519000,519000,514000,501500,499000,499000,499000,499000,499000,499000,499000,499000,498888,495000,485000,489000,498000,498000,489000,499000,489000,482500,482500,489000,499000,499000,499000,499000,499000,499000,499000,5e+05,513500,499999,499000,509000,5e+05,509000,519000,519000,529000,539000,549000,547000,545000,549000,529000,525000,539000,534000,529000,549000,550000,550000,549000,550000,550000,550000,549000,549500,590000,612500,605000,599999,610000,629000,629000,625000,629000,639000,644000,649000,649000,649000,639000,650000,655000,650000,659000,659949.5,660000,659499.5,660000,664500,675000,685000,689000,699000,689500,699000,699000
"90201","Bell","CA","Los Angeles, CA","Los Angeles",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677000,654500,644500,639000,647500,650000,719900,717450,715000,8e+05,835000,781500,750000
"10457","New York","NY","New York, NY","Bronx",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572499.5,620000,699000,699000,589000,589000,594000,589000,599000,599000,599500,6e+05,599500,6e+05,612500,597000,649000,649000,677000,669000,649000,649499.5
"90004","Los Angeles","CA","Los Angeles, CA","Los Angeles",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e+06,1110000,1095000,1137500,1137500,1175000,1140000,1040000,1040000,1150000,1200000,1300000,1297500,1297500,1275000,1200000,1200000,1250000,1249500,1214950,1249500,1249000,1250000,1250000,1295000,1249000,1278999,1324500,1289499.5,1260000,1450000,1699000,1699000,1680000,1495000,1399250,1425000,1545000
"11233","New York","NY","New York, NY","Kings",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277000,1250000,1297000,1100000,1115000,1100000,1100000,1175000,1199499.5,1195000,1195000,1150000,1197000,1199000,1200000,1200000,1200000,1225000,1200000
"11223","New York","NY","New York, NY","Kings",38,869000,829000,839000,849000,849000,828250,859000,889000,850000,830000,849000,849000,849000,839000,835000,819000,799000,799000,799000,779000,779000,759000,749000,798000,750000,699000,759499.5,799000,812000,859000,799000,749000,785000,749000,769000,774000,784500,849000,849000,870000,875000,949000,914000,899000,899000,912000,877000,859000,859000,895000,898000,900005,895000,905000,899900,925000,949000,957000,983500,1019000,999000,999000,1099500,1128000,1114000,1019999.5,998500,1099000,1060000,1145000,1194500,1175000,1199500,1200000,1280000,1292944,1244388.5,1200000,1199000,1199000,1195000,1195000,1199000,1199000,1199000,1198500,1219500,1250000,1250000,1299000,1350000,1279000,1199500,1199000,1249500,1264500,1299000,1337000,1312500,1349000,1300000,1291500,1275000,1299000
"90011","Los Angeles","CA","Los Angeles, CA","Los Angeles",39,224950,235000,237500,235000,229000,229000,229950,237450,240000,232500,229000,227000,227000,229000,229000,220000,219000,219250,235000,2e+05,199900,209000,224900,224900,225000,226600,229750,228500,243810.5,239900,249949.5,270000,269000,269500,274800,295000,299950,299000,285000,295000,309000,310000,319450,337450,349444,349944,350000,371950,349950,353500,353500,348944,349900,350000,379000,399900,399450,386500,380000,375000,362000,377500,389900,384950,4e+05,405000,409900,409999.5,448950,419900,419450,415000,415000,419950,435000,435000,435000,435000,430000,432500,450000,450000,459000,460000,460000,470000,479450,485000,489450,495000,522400,512449.5,499999,510000,499999,499000,525000,514499.5,537500,549000,559500,550000,577900,582500
"11218","New York","NY","New York, NY","Kings",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399999,1299000,1299000,1299000,1450000,1599499.5,1647499.5,1750000,1599999,1595000,1595000,1647500,1595000,1595000,1597500,1550000,1599000,1599000,1550000,1499999.5,1485000,1549000,1549000,1537000,1525000,1499999,1567500,1595000,1550000,1599500,1645000,1595000
"10701","Yonkers","NY","New York, NY","Westchester",41,391500,382000,375000,359000,352500,369450,386500,360000,374900,375000,385000,350000,325000,310000,3e+05,3e+05,310000,350000,379500,377000,379500,354500,349975,350000,350000,349000,350000,359000,349499.5,375000,375000,375000,399990,399000,399000,399000,384000,365000,359000,350000,360500,379000,392000,350000,358250,359000,347000,364000,392499.5,345000,382003.5,385000,379503.5,393750,387003.5,389000,379000,377000,359950,359000,344000,344000,362500,389000,379000,4e+05,421503.5,394000,399990,425000,425000,411995,385000,399000,394999,415000,425000,415000,4e+05,397487,369000,350000,385000,392000,399937.5,425000,425000,452500,452500,449900,449000,439500,439000,431950,444500,440000,459000,449000,466500,474000,499000,475000,525000,599999
"90731","Los Angeles","CA","Los Angeles, CA","Los Angeles",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539000,524900,539000,520000,574000,649000,614500,599500,592000,599000,579000,550000,552500,579500,609499.5,624000,639499.5,675000,675000,639350,667000,625000,615000,588000,583500,525000,565000,583500,572500,599000,580000,599000,579000,592000,604000,669500,669500,669750,659750,650000,650000,650000,654500,639900,683500,683500,729700,692000,650000,664500,661750,775000,795000,775000,725000,712500,744950,740000,754500
