"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"28540","Jacksonville","NC","Jacksonville, NC","Onslow",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1050,1125,1150,1200,1150,1095,1035,1025,1050,1000,1037.5,1050,1147.5,1100,1087.5,1150,1250,1300,1262.5
"06511","New Haven","CT","Waterbury, CT","New Haven",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1600,1600,1725,1700,1562.5,1597.5,1650,1650,1625,1650,1572.5,1650,1695,1750,1650,1700,1900,1684
"92620","Irvine","CA","Los Angeles, CA","Orange",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,4000,4100,4075,4000,4272.5,4000,4000,4050,4050,4095,4200,4000,4000,4000,4100,4300,4200,4095,4200
"30144","Kennesaw","GA","Atlanta, GA","Cobb",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1650,1572.5,1575,1645,1695,1685,1700,1670,1691,1660,1650,1645,1645,1650,1700,1707,1775,1775,1740
"96706","Ewa Beach","HI","Honolulu, HI","Honolulu",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3287.5,3400,3300,3275,3300,3125,3185,3000,3000,3000,3200,2925,3200,3200,3300,3375,3275,3300
"89147","Las Vegas","NV","Las Vegas, NV","Clark",94,,,,,,,,,,,,,1300,1300,1300,1350,1350,1350,1350,1350,1350,1300,1300,1297.5,1300,1300,1350,1495,1450,1400,1322.5,1300,1375,1385,1395,1395,1375,1400,1400,1400,1400,1420,1432.5,1375,1450,1450,1395,1395,1467.5,1425,1400,1450,1467.5,1450,1485,1496.5,1350,1400,1400,1395,1407.5,1500,1600,1535,1495,1600,1530,1395,1450,1487.5,1399,1485,1400,1450,1500,1650,1600,1650,1650,1574,1550,1550,1595,1595,1650,1600,1695,1697.5,1672.5,1650,1700,1750
"77373","Spring","TX","Houston, TX","Harris",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1459,1450,1475,1550,1600,1530,1550,1500,1550,1575,1620,1650,1625,1600,1625,1650,1625,1600
"23456","Virginia Beach","VA","Virginia Beach, VA","Virginia Beach City",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1985,1995,1950,2000,1950,1895,1995,1962.5,1897.5,1900,1925,1995,1947.5,2100,2150,2100,2000,1975
"92130","San Diego","CA","San Diego, CA","San Diego",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195,4295,4500,4500,4597,4400,4200,4325,4400,4500,4500,4500,4500,4400,4500,4597.5,4650,4495,4550,4600
"89129","Las Vegas","NV","Las Vegas, NV","Clark",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.5,1495,1495,1500,1495,1511,1612.5,1500,1495,1590,1587.5,1547.5,1500,1500,1550,1650,1650,1650,1590,1597
