"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-08-31,"33160","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade","Sunny Isles Beach",66,2164,-0.0018450184501845,-0.00915750915750916,-0.0154686078252957,47681
2018-08-31,"77077","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",67,2042,-0.00195503421309873,-0.00487329434697856,0.0194707938092861,12495
2018-08-31,"78245","TX","San Antonio-New Braunfels","Bexar","San Antonio",68,1285,-0.000777604976671851,-0.00232919254658385,-0.00464756003098373,20552
2018-08-31,"21234","MD","Baltimore-Columbia-Towson","Baltimore","Parkville",69,1639,0,0.00122174709835064,0.00613873542050338,21952
2018-08-31,"23464","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",70,1544,-0.000647249190938511,-0.00129366106080207,0,24717
2018-08-31,"30096","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Duluth",71,1446,0.000692041522491349,0.00138504155124654,0.0118964310706788,15440
2018-08-31,"78521","TX","Brownsville-Harlingen","Cameron","Brownsville",72,849,0,0,-0.0492721164613662,21381
2018-08-31,"75243","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",73,1489,0,-0.00134138162307176,0.00812457684495599,11294
2018-08-31,"11214","NY","New York-Newark-Jersey City","Kings","New York",74,2104,-0.0028436018957346,-0.0103480714957667,-0.0526789734353895,12009
2018-08-31,"98052","WA","Seattle-Tacoma-Bellevue","King","Redmond",75,2587,-0.000386398763523957,-0.000386398763523957,-0.0443295160694496,19679
2018-08-31,"94501","CA","San Francisco-Oakland-Hayward","Alameda","Alameda",76,3271,-0.00122137404580153,-0.00426179604261796,-0.0138679529695508,15142
2018-08-31,"08701","NJ","New York-Newark-Jersey City","Ocean","Lakewood",77,1845,-0.00324149108589951,-0.00912996777658432,-0.0435458786936236,21467
2018-08-31,"11221","NY","New York-Newark-Jersey City","Kings","New York",78,2335,-0.00213675213675214,-0.0135192226446979,-0.0561843168957154,13736
2018-08-31,"60610","IL","Chicago-Naperville-Elgin","Cook","Chicago",79,1784,-0.00223713646532438,-0.00612813370473538,-0.0585751978891821,28342
2018-08-31,"11207","NY","New York-Newark-Jersey City","Kings","New York",80,2196,-0.000455166135639508,-0.000455166135639508,-0.0130337078651685,12430
2018-08-31,"11229","NY","New York-Newark-Jersey City","Kings","New York",81,2166,-0.00322135296824666,-0.0118613138686131,-0.0273911091154019,15464
2018-08-31,"77379","TX","Houston-The Woodlands-Sugar Land","Harris","Tomball",82,1846,-0.000541418516513265,-0.00108225108225108,0.0347533632286996,25036
2018-08-31,"78666","TX","Austin-Round Rock","Hays","San Marcos",83,1418,0.00141242937853107,0.0063875088715401,-0.0207182320441989,11752
2018-08-31,"10019","NY","New York-Newark-Jersey City","New York","New York",84,3662,-0.00136351240796291,-0.0124056094929881,-0.0598202824133504,20659
2018-08-31,"30024","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Suwanee",85,1871,0,-0.00106780565936999,-0.0162986330178759,22770
